chat_notice,,,,,
int|key,str,str,int,str,str
,,,1,,
id,name,sign,notice_type,content,remark
"系统id","名字","公共标识","频道(1:系统)","内容","备注"
1,时时彩-金币,notice_1,,恭喜玩家|c106{%text}$c在金币场击败奖金BOSS，共获得|c106{%text}$c金币,"时时彩【1,玩家名字 2，获得奖励金额 】"
2,时时彩-赏金石,notice_2,,恭喜玩家|c106{%text}$c在赏金石场击败奖金BOSS，共获得|c106{%text}$c赏金石,"时时彩【1,玩家名字 2，获得奖励金额 】"
3,无尽对决-金币,notice_3,,恭喜玩家|c106{%text}$c在无尽对决中赢得|c106{%text}$c金币,条件：玩家获得金币超过1000万
4,无尽对决-赏金石,notice_4,,恭喜玩家|c106{%text}$c在无尽对决中赢得|c106{%text}$c赏金石,条件：玩家获得赏金石100万
5,无尽对决-金币大倍率,notice_5,,恭喜玩家|c106{%text}$c在无尽对决中获得|c106{%text}$c超高倍率大奖，共计|c106{%text}$c金币,条件：玩家中得了51倍和25倍and赢得金币超1亿
6,无尽对决-赏金石大倍率,notice_6,,恭喜玩家|c106{%text}$c在无尽对决中获得|c106{%text}$c超高倍率大奖，共计|c106{%text}$c赏金石,条件：玩家中得了51倍和25倍and赢得赏金石超1000万
7,拉霸-金币,notice_7,,恭喜玩家|c106{%text}$c在拉霸中获得了|c106{%text}$c金币,条件：玩家获得金币超过1000万金币
8,拉霸-赏金石,notice_8,,恭喜玩家|c106{%text}$c在拉霸中获得了|c106{%text}$c赏金石,条件：玩家获得赏金石100万赏金石
9,竞技场-连胜,notice_9,,恭喜玩家|c106{%text}$c在竞技场中赢得了|c106{%text}$c场连胜,条件：玩家获得10、15、20连胜进行提示
10,初級競技場-排名,notice_10,,恭喜|c106{%text}$c{%text}位玩家在初級競技場中取得了|c106前{%text}名$c的好成績,条件：每天20点结算时发出，内容对象是等级场次前3名
11,中級競技場-排名,notice_11,,恭喜|c106{%text}$c{%text}位玩家在中級競技場中取得了|c106前{%text}名$c的好成績,条件：每天20点结算时发出，内容对象是等级场次前4名
12,高級競技場-排名,notice_12,,恭喜|c106{%text}$c{%text}位玩家在高級競技場中取得了|c106前{%text}名$c的好成績,条件：每天20点结算时发出，内容对象是等级场次前5名
13,登录通知,notice_13,2,|c111客服人员不会主动要求玩家提供任何账号、密码、验证码资料，请勿提供给他人。$c,玩家登录发送（仅该玩家可见）
